participant_id,attempt_id,gender,height_cm,weight_kg,distance_cm,entry,takeoff,takeoff_mid,peak,landing_mid,landing,has_all_indices,entry_arm_raise,entry_leg_forward,entry_knee_angle,entry_hip_angle,entry_trunk_lean_deg,entry_trunk_lean_signed_deg,entry_midhip_x,entry_kps_conf_mean,entry_kps_conf_min,entry_kps_valid_ratio,takeoff_arm_raise,takeoff_leg_forward,takeoff_knee_angle,takeoff_hip_angle,takeoff_trunk_lean_deg,takeoff_trunk_lean_signed_deg,takeoff_midhip_x,takeoff_kps_conf_mean,takeoff_kps_conf_min,takeoff_kps_valid_ratio,takeoff_mid_arm_raise,takeoff_mid_leg_forward,takeoff_mid_knee_angle,takeoff_mid_hip_angle,takeoff_mid_trunk_lean_deg,takeoff_mid_trunk_lean_signed_deg,takeoff_mid_midhip_x,takeoff_mid_kps_conf_mean,takeoff_mid_kps_conf_min,takeoff_mid_kps_valid_ratio,peak_arm_raise,peak_leg_forward,peak_knee_angle,peak_hip_angle,peak_trunk_lean_deg,peak_trunk_lean_signed_deg,peak_midhip_x,peak_kps_conf_mean,peak_kps_conf_min,peak_kps_valid_ratio,landing_mid_arm_raise,landing_mid_leg_forward,landing_mid_knee_angle,landing_mid_hip_angle,landing_mid_trunk_lean_deg,landing_mid_trunk_lean_signed_deg,landing_mid_midhip_x,landing_mid_kps_conf_mean,landing_mid_kps_conf_min,landing_mid_kps_valid_ratio,landing_arm_raise,landing_leg_forward,landing_knee_angle,landing_hip_angle,landing_trunk_lean_deg,landing_trunk_lean_signed_deg,landing_midhip_x,landing_kps_conf_mean,landing_kps_conf_min,landing_kps_valid_ratio,has_all_kps_len25,min_phase_conf,prep_frames,takeoff_to_peak_frames,peak_to_landing_frames,flight_frames,forward_dir_sign,entry_trunk_lean_forward_deg,entry_backlean_deg,takeoff_trunk_lean_forward_deg,takeoff_backlean_deg,takeoff_mid_trunk_lean_forward_deg,takeoff_mid_backlean_deg,peak_trunk_lean_forward_deg,peak_backlean_deg,landing_mid_trunk_lean_forward_deg,landing_mid_backlean_deg,landing_trunk_lean_forward_deg,landing_backlean_deg,knee_ext_takeoff_to_peak,arm_raise_takeoff_to_peak,trunk_lean_takeoff_to_landing,trunk_lean_signed_takeoff_to_landing,trunk_lean_forward_takeoff_to_landing,quality_pass,bmi,bmi_group,distance_level
P054,A0001,M,180.0,80.0,245.0,54.0,172.0,177.0,183.0,190.0,197.0,True,-0.9233780540269176,-0.084164533337271,159.26740497734824,169.80143459723757,3.025134820360028,3.025134820360028,124.34991836547852,0.9236777667936524,0.1879077702760696,0.76,-0.374510755584205,-0.1408256632381153,54.08926693800072,64.92797154592189,50.35125742458552,50.35125742458552,188.1105117797852,0.8735747635364532,0.3814933896064758,0.72,0.0752329029751202,-0.6038212864841406,122.5834552843996,142.42179246691666,42.01494540897379,42.01494540897379,292.90826416015625,0.8856627972502458,0.2247863411903381,0.76,0.4470150939039503,-0.4580454632920392,119.97258334578132,156.84175625528027,23.237842319215087,23.237842319215087,520.071044921875,0.8635100324948629,0.213979423046112,0.72,-0.4240343105085341,0.3089103963981163,141.39373110628662,99.3406512546124,50.49859783226542,50.49859783226542,666.9409790039062,0.8636318915768674,0.1491301655769348,0.76,-0.6533209538495349,0.7851829671360662,84.66602302053676,41.77813118983586,49.503528107761,49.503528107761,888.8311767578125,0.8745938853213662,0.1677004396915435,0.76,True,0.8635100324948629,118.0,11.0,14.0,25.0,1.0,3.025134820360028,-3.025134820360028,50.35125742458552,-50.35125742458552,42.01494540897379,-42.01494540897379,23.237842319215087,-23.237842319215087,50.49859783226542,-50.49859783226542,49.503528107761,-49.503528107761,65.8833164077806,0.8215258494881552,-0.8477293168245197,-0.8477293168245197,-0.8477293168245197,True,24.69135802469136,over,high
P055,A0002,M,175.0,62.0,260.0,66.0,249.0,253.0,258.0,262.0,267.0,True,-0.995941825413606,0.031519400008623,148.41511546389282,157.79665834984343,4.702224251772178,4.702224251772178,111.2010498046875,0.8861737243003316,0.2116067558526992,0.72,-0.2078081786294865,-0.4603813103704471,125.59164899147436,124.33272873387304,53.07303123217082,53.07303123217082,253.8645935058593,0.8422833751691016,0.1294456571340561,0.76,0.8083012089761775,-1.0200899879530332,176.19507120645983,165.1973341342804,36.43924941756737,36.43924941756737,449.4017181396485,0.8469597022784384,0.137367695569992,0.76,0.5283224661446742,-0.7894916572494886,99.20044978397256,161.15491651416056,30.679168339088005,30.679168339088005,631.7884521484375,0.8721503085560269,0.263570487499237,0.72,-0.7833177434563243,0.1945728005072882,92.09315815393134,73.53611572103392,52.20664279186224,52.20664279186224,725.2503051757812,0.8861657422449853,0.1662748605012893,0.72,-1.0351188779051177,0.904648168375632,84.17787363159596,41.9523266215358,42.842898635929146,42.842898635929146,936.6414184570312,0.8424990432042825,0.1162175759673118,0.76,True,0.8422833751691016,183.0,9.0,9.0,18.0,1.0,4.702224251772178,-4.702224251772178,53.07303123217082,-53.07303123217082,36.43924941756737,-36.43924941756737,30.679168339088005,-30.679168339088005,52.20664279186224,-52.20664279186224,42.842898635929146,-42.842898635929146,-26.3911992075018,0.7361306447741607,-10.230132596241674,-10.230132596241674,-10.230132596241674,True,20.244897959183675,normal,high
P056,A0003,M,177.0,60.0,278.0,33.0,259.0,263.0,267.0,274.0,281.0,True,-0.8898786905605419,-0.0518023690236586,172.52240832751227,167.890886997608,1.686532977270753,1.686532977270753,97.06488037109376,0.8454224447670736,0.1029196009039878,0.76,-1.1145967075452208,-0.3108444380492599,85.5227585925507,93.74139157427696,57.793647170924686,57.793647170924686,210.9407653808593,0.8868663012981415,0.1652781069278717,0.76,0.442180363632187,-0.8240205189863875,146.2842252227257,161.54308781749376,41.534342571327976,41.534342571327976,335.22987365722656,0.8224077704879973,0.1147718429565429,0.72,0.7403957727851408,-1.3101045531789035,151.7607673916538,158.7849753916889,27.65782285306988,27.65782285306988,532.5413818359375,0.8093244339290419,0.1497852802276611,0.76,0.0307569558520756,-0.078113857492307,101.82906420871733,113.55417419058897,35.87336636285364,35.87336636285364,754.6333618164062,0.8570193771053763,0.295245349407196,0.68,-0.7221441300033338,0.7559010140788511,72.13543756116607,40.18993082304813,33.5237060298281,33.5237060298281,983.108917236328,0.8184328331715531,0.1020791009068489,0.72,True,0.8093244339290419,226.0,8.0,14.0,22.0,1.0,1.686532977270753,-1.686532977270753,57.793647170924686,-57.793647170924686,41.534342571327976,-41.534342571327976,27.65782285306988,-27.65782285306988,35.87336636285364,-35.87336636285364,33.5237060298281,-33.5237060298281,66.23800879910308,1.8549924803303608,-24.269941141096588,-24.269941141096588,-24.269941141096588,True,19.15158479364167,normal,high
P057,A0004,M,170.0,58.0,250.0,238.0,244.0,247.0,250.0,255.0,261.0,True,-0.238862918432129,-0.2121329920078078,94.18442249102684,85.9824716695307,61.7956874520744,61.7956874520744,175.1222381591797,0.8483341328407589,0.109048381447792,0.76,0.4177138398862933,-0.937581898675772,155.88267256571947,167.2357692150502,45.7435452991546,45.7435452991546,327.0796356201172,0.8467927020457056,0.1901724487543106,0.72,0.5767284700376971,-0.9853102572588044,156.98866100029653,166.35393153644873,37.061817833095006,37.061817833095006,465.12445068359375,0.8412127683037206,0.2946128249168396,0.76,0.3668622455726488,-0.6249455694929423,69.6474041430335,166.83337073054042,32.39997912220009,32.39997912220009,566.0871887207031,0.800732768195517,0.1172180846333503,0.68,-0.981571427493026,0.4456579365865725,108.16773845461547,73.86901682834701,53.17919488352257,53.17919488352257,704.9919738769531,0.8253164691360373,0.1438604742288589,0.76,-1.148358113356576,0.8627510363199966,85.75348635062387,40.697248090721615,42.77968150989446,42.77968150989446,923.36376953125,0.8157679673872495,0.1265007406473159,0.76,True,0.800732768195517,6.0,6.0,11.0,17.0,1.0,61.7956874520744,-61.7956874520744,45.7435452991546,-45.7435452991546,37.061817833095006,-37.061817833095006,32.39997912220009,-32.39997912220009,53.17919488352257,-53.17919488352257,42.77968150989446,-42.77968150989446,-86.23526842268598,-0.0508515943136445,-2.963863789260138,-2.963863789260138,-2.963863789260138,True,20.06920415224914,normal,high
P058,A0005,M,180.0,80.0,210.0,85.0,365.0,369.0,373.0,378.0,384.0,True,-0.8892613886699678,-0.0638802535861567,171.75745053445104,170.42011100564127,1.283649213258673,-1.283649213258673,104.41774368286131,0.8869088299964604,0.1189091950654983,0.76,-0.8935375553920402,-0.3701039349071949,102.43908173526432,101.2630777730398,58.153709567768445,58.153709567768445,210.85076141357425,0.8862391898506566,0.1399566233158111,0.76,0.3008813641561836,-0.9849507143499991,170.546149353219,177.162083950303,38.59459881974135,38.59459881974135,362.965576171875,0.8364256761576,0.1359620541334152,0.76,0.5298082872022287,-0.9019610105839762,110.12893698687849,154.4480652478147,39.1106734696676,39.1106734696676,490.5296478271485,0.833867222070694,0.3077956736087799,0.68,-0.021944479134723,0.1424054644510239,108.24565977792253,86.95551182854237,50.74988029777636,50.74988029777636,594.9658508300781,0.8886232446221745,0.5457196235656738,0.68,-1.0921169547033136,0.6795770162795798,112.88313084080254,73.1513126949559,45.03685190638361,45.03685190638361,790.0850830078125,0.8804073532422384,0.2168509364128112,0.72,True,0.833867222070694,280.0,8.0,11.0,19.0,1.0,-1.283649213258673,1.283649213258673,58.153709567768445,-58.153709567768445,38.59459881974135,-38.59459881974135,39.1106734696676,-39.1106734696676,50.74988029777636,-50.74988029777636,45.03685190638361,-45.03685190638361,7.689855251614162,1.4233458425942689,-13.116857661384834,-13.116857661384834,-13.116857661384834,True,24.69135802469136,over,mid
P059,A0006,M,179.0,65.0,270.0,49.0,248.0,252.0,256.0,262.0,269.0,True,-0.8846949635266653,-3.0789279670940736e-05,171.33388367762143,169.14785504945547,6.389249732585977,6.389249732585977,119.22061920166016,0.8966951225149004,0.1178317591547966,0.76,-1.045412066528539,-0.3538326223333567,92.53228004860466,79.39332174192307,70.62301571194463,70.62301571194463,216.3890380859375,0.9093549447624308,0.194097563624382,0.76,0.3761085103428869,-0.9144619405296338,142.6711305403506,150.99459364762615,52.31580334856414,52.31580334856414,338.75184631347656,0.842289210934388,0.153643250465393,0.76,0.3678799593935176,-1.6291067944426678,154.06885095707304,140.48694250006912,14.218185260251229,14.218185260251229,575.5710754394531,0.8329908690031838,0.4954332113265991,0.68,-0.7369075006175818,-0.2749955698540766,80.13798302476835,108.99345496862028,40.05098277551299,40.05098277551299,707.6649475097656,0.8212584657104391,0.1017527356743812,0.76,-1.1571252216498151,0.836494190333638,84.37094701341745,38.78193224413105,55.02118005254655,55.02118005254655,953.8219299316406,0.8086549984781366,0.1000089198350906,0.76,True,0.8086549984781366,199.0,8.0,13.0,21.0,1.0,6.389249732585977,-6.389249732585977,70.62301571194463,-70.62301571194463,52.31580334856414,-52.31580334856414,14.218185260251229,-14.218185260251229,40.05098277551299,-40.05098277551299,55.02118005254655,-55.02118005254655,61.53657090846838,1.4132920259220565,-15.601835659398084,-15.601835659398084,-15.601835659398084,True,20.286507911738084,normal,high
P060,A0007,M,187.0,83.0,265.0,53.0,373.0,378.0,383.0,386.0,389.0,True,-0.9802562812977208,-0.0431049269717657,172.9697542163216,170.82280778930095,1.0911571689428252,1.0911571689428252,117.60590362548828,0.9247800906499228,0.4155173897743225,0.72,-0.0488274939532441,-0.664498285373285,119.38509442414028,128.61643393940363,54.12454016785537,54.12454016785537,298.9330444335937,0.8828945871856477,0.2443631887435913,0.72,-0.0237599461304572,-1.4868090203769029,147.8963368928258,165.86887994620346,30.19684975437633,30.19684975437633,536.4675903320312,0.8173275407817628,0.1075379848480224,0.72,-0.763186327466679,-0.3994031089861796,69.54804998293116,119.0392732592006,39.33130189614027,39.33130189614027,677.4693298339844,0.8346661511394713,0.1019356548786163,0.72,-0.8518570393412065,0.3168034161092657,126.15638954095914,85.60623468444075,53.492368712357965,53.492368712357965,832.9338684082031,0.8870280376738973,0.2154628485441208,0.72,-0.3295332284017644,0.840486395308929,130.6711024859705,68.40064210921602,50.57643000535735,50.57643000535735,918.396240234375,0.8508995150526365,0.1127150207757949,0.72,True,0.8173275407817628,320.0,10.0,6.0,16.0,1.0,1.0911571689428252,-1.0911571689428252,54.12454016785537,-54.12454016785537,30.19684975437633,-30.19684975437633,39.33130189614027,-39.33130189614027,53.492368712357965,-53.492368712357965,50.57643000535735,-50.57643000535735,-49.83704444120912,-0.7143588335134349,-3.54811016249802,-3.54811016249802,-3.54811016249802,True,23.735308416025617,normal,high
P053,A0008,M,170.0,62.0,245.0,22.0,197.0,201.0,205.0,210.0,216.0,True,-0.8954260383522581,-0.034748996989597,175.31074921717678,178.32820807451884,2.9818244021856284,2.9818244021856284,130.62859725952148,0.926135817640706,0.494029551744461,0.76,-0.6392090277194149,-0.5575880323377962,94.87807357919708,118.62169997780563,51.33619770419177,51.33619770419177,241.4800262451172,0.8751160659288105,0.1610199213027954,0.76,0.6623587940390552,-1.194709215069705,179.0874651061387,169.33074494792348,39.06097472160654,39.06097472160654,405.99949645996094,0.7695955571375395,0.1500567644834518,0.76,0.7933521061349381,-0.7008634527023097,126.02027521095413,176.47285903550738,33.59292331431508,33.59292331431508,578.9307556152344,0.8219890414099944,0.1772849112749099,0.76,-0.0518114212799658,0.5437372182834082,117.87908160754874,80.11055302341842,41.88275010164848,41.88275010164848,682.4685974121094,0.8546357137315413,0.4962797164916992,0.68,-0.0756276119401636,0.7381482400451103,89.90566116799043,56.69824994815467,36.31748836660842,36.31748836660842,886.9974365234375,0.7559194278560186,0.1236062869429588,0.76,True,0.7559194278560186,175.0,8.0,11.0,19.0,1.0,2.9818244021856284,-2.9818244021856284,51.33619770419177,-51.33619770419177,39.06097472160654,-39.06097472160654,33.59292331431508,-33.59292331431508,41.88275010164848,-41.88275010164848,36.31748836660842,-36.31748836660842,31.142201631757032,1.4325611338543531,-15.018709337583346,-15.018709337583346,-15.018709337583346,True,21.45328719723184,normal,high
P062,A0009,M,185.0,80.0,270.0,80.0,201.0,205.0,209.0,214.0,220.0,True,-0.9360346140480518,-0.1614887115176765,173.40980400779313,175.00854647280033,5.567495087699182,5.567495087699182,138.65005493164062,0.9141386383109622,0.2673199474811554,0.72,-0.2058291250045961,-0.489841810881976,107.67713883605538,114.34402031351198,53.83023089471932,53.83023089471932,253.1509246826172,0.8755005531840854,0.3169231414794922,0.72,0.6711982113168586,-1.3194534939601077,170.96283887038194,158.58047601873994,31.25580458355339,31.25580458355339,478.0058898925781,0.8528352346685197,0.3630123734474182,0.72,0.5195833065777485,-0.9226808895326504,104.33937514643476,177.54789297553728,24.398802543062686,24.398802543062686,647.091796875,0.8328733891248703,0.1415743827819824,0.72,-0.208332195170292,0.3632780075586878,104.3943717350019,79.85638444614234,45.10323351589103,45.10323351589103,768.8330688476562,0.8668178787661923,0.1071228757500648,0.72,-0.7856485692521451,0.8874509552622726,78.72108125913739,42.5408664030031,35.06962276724288,35.06962276724288,983.7776184082032,0.8255024204651514,0.1612200736999511,0.72,True,0.8255024204651514,121.0,8.0,11.0,19.0,1.0,5.567495087699182,-5.567495087699182,53.83023089471932,-53.83023089471932,31.25580458355339,-31.25580458355339,24.398802543062686,-24.398802543062686,45.10323351589103,-45.10323351589103,35.06962276724288,-35.06962276724288,-3.3377636896206297,0.7254124315823447,-18.760608127476445,-18.760608127476445,-18.760608127476445,True,23.37472607742878,normal,high
P063,A0010,M,177.0,74.0,245.0,6.0,196.0,198.0,201.0,207.0,213.0,True,-0.8551842746571132,-0.0615304889143722,172.2201652075737,171.13821521892325,7.244364234961256,7.244364234961256,129.02067184448242,0.9120936716596284,0.2465888708829879,0.72,-0.6554736300996218,-0.616216115918234,101.83257366507858,113.78563408503452,55.202437508357306,55.202437508357306,279.20884704589844,0.8934156855470256,0.1399841457605362,0.76,0.1554030511939638,-0.8879832315250571,144.90863895178455,165.83282726600422,39.69915210536424,39.69915210536424,345.0279693603516,0.8462498957912127,0.203422412276268,0.72,0.4857891928211449,-1.1709120248815006,166.3765190596264,160.2213679233577,30.09176451963492,30.09176451963492,495.53672790527344,0.8836206527132737,0.2991364002227783,0.76,-0.66571367700539,0.0073950152518914,105.25611488530716,96.13713134189769,46.12238358801864,46.12238358801864,687.7200622558594,0.8770198782807902,0.1322724372148513,0.76,-1.2346886353126894,0.713624096259263,84.8928177045153,50.55998355700031,46.56973779731913,46.56973779731913,880.3110961914062,0.8284022666906056,0.1352734565734863,0.76,True,0.8284022666906056,190.0,5.0,12.0,17.0,1.0,7.244364234961256,-7.244364234961256,55.202437508357306,-55.202437508357306,39.69915210536424,-39.69915210536424,30.09176451963492,-30.09176451963492,46.12238358801864,-46.12238358801864,46.56973779731913,-46.56973779731913,64.5439453945478,1.1412628229207669,-8.632699711038178,-8.632699711038178,-8.632699711038178,True,23.620287912158062,normal,high
